stk,n,abs_baseline_v2,rel_baseline_v2,abs_I1_roll120,rel_I1_roll120,abs_I1_roll80,rel_I1_roll80,abs_I2_vol_r0.10,rel_I2_vol_r0.10,abs_I2_vol_r0.20,rel_I2_vol_r0.20,abs_I3_lgbm,rel_I3_lgbm,abs_I4_clipy,rel_I4_clipy,abs_ALL_r120_v0.10,rel_ALL_r120_v0.10,abs_ALL_r120_v0.20,rel_ALL_r120_v0.20
s1,242,0.011011518985321357,0.0029779141241887963,0.011038939908417993,0.0004951262382584254,0.010947450390692452,0.008778912509715187,0.01104036097225728,0.00036645806494839395,0.010966020462134726,0.007097512206185819,0.011014487219412249,0.002709159654563531,0.011011518985321357,0.0029779141241887963,0.011101076701513078,-0.005130959966912707,0.01095364838973383,0.008217723636433583
s2,242,0.023113754558724622,0.008244749676596608,0.02296559535889222,0.014601902251881516,0.022870376032790164,0.018687533011438218,0.02407633281016148,-0.03305715271594556,0.02458458489773313,-0.05486501932871768,0.023307568893269355,-7.135419931492137e-05,0.023104360924013523,0.008647807800307494,0.02348313592739997,-0.007604510590690561,0.02423315658760112,-0.0397860813396429
s3,242,0.02202385442414334,-0.013437897343563154,0.022139885031020937,-0.018777099646527073,0.022256885538844036,-0.024160932392278678,0.022183422627979198,-0.020780502405510326,0.022202245635147333,-0.021646651828712393,0.021590742533018528,0.006491947623757821,0.02196317756895456,-0.010645823651297626,0.021693780598401685,0.0017506031561980162,0.021763600387826015,-0.001462186904273688
s4,242,0.017857192696924803,-0.01162193894500052,0.017885359585460045,-0.013217612065500317,0.017839017947822625,-0.01059232722278658,0.018198264480985812,-0.03094388418954308,0.017990417072624176,-0.019169189150960664,0.017652041745503957,0.0,0.017857192696924803,-0.01162193894500052,0.017979705896679354,-0.01856239385219305,0.017881444716051055,-0.01299583208868893
s5,242,0.020528804598129755,0.005381581392234436,0.020550019538969348,0.0043537197450610465,0.020409113266385143,0.011180613797254657,0.020663521225456668,-0.0011454249997633337,0.019628649921428556,0.04899398058300353,0.02040349082694115,0.011453020395591706,0.020589986605936115,0.0024173195638981237,0.020629618458536787,0.000497160483433845,0.019545076121018353,0.05304312240242581
s6,242,0.014900380325093488,0.007191061503085461,0.01498221212038839,0.0017386276692182845,0.015182801009273725,-0.011626564191901334,0.015392470877567427,-0.025596819637320634,0.01613708492366934,-0.07521028349336456,0.015026946356484404,-0.0012420042666094755,0.014957636736945414,0.003376079856132308,0.015585743950323852,-0.038474560340368,0.016486763543582823,-0.09850929008762699
s7,242,0.02054188738657353,-0.054071333113414166,0.02052921265957259,-0.053420951474409506,0.02055800090509344,-0.05489817037660227,0.02088159462913875,-0.0715028212381641,0.020615163117851994,-0.05783135020921604,0.019609984085160306,-0.00625233105348344,0.02053166699182962,-0.053546891278546616,0.02094348066370757,-0.0746783957962105,0.020934590161018944,-0.07422219506622452
s8,242,0.014432408896370173,0.0021671261386205787,0.014433198220787605,0.0021125535542717566,0.014568198818553538,-0.007221164427877902,0.016029912292814308,-0.10828161575352979,0.016422552773147334,-0.13542812897236978,0.014500552336178996,-0.002544198552044019,0.01443081015051412,0.0022776607821145545,0.01618842822339269,-0.11924114494214777,0.01647148891955691,-0.13881149317429786
s9,242,0.021545032537369717,-0.017022299428717247,0.02126703959132742,-0.003899783845669802,0.02148125818669266,-0.014011863651576917,0.021903200130703935,-0.03392941844660702,0.022226974813728977,-0.049213037631483436,0.02150241862842644,-0.015010731537790978,0.021539721330973413,-0.01677158663297007,0.021898378863985112,-0.03370183300406793,0.021997534319394718,-0.03838241582921187
s10,242,0.02039603677035591,-0.04336553448366742,0.020527961708157946,-0.05011419525494043,0.020680427877400546,-0.05791364903871132,0.02053744705679513,-0.05059942118201799,0.021204013387894235,-0.08469782687458105,0.019578439614487072,-0.0015411004953316265,0.02037385378680469,-0.04223075713697222,0.0206842553720935,-0.058109445707005936,0.02099141320754712,-0.07382219925649447
s11,242,0.01560667617945774,0.03171039318813618,0.01574409930056607,0.02318421001019655,0.015473604649200924,0.03996658933320807,0.015776335019628704,0.021184199798057857,0.016138911304182883,-0.0013112274135593793,0.01581258030492953,0.018935422886872,0.01560667617945774,0.03171039318813618,0.015793618503909243,0.02011187549236304,0.016025796293304143,0.005706800521976363
s12,242,0.021181328424978357,-0.00411528743093581,0.02112636571630381,-0.0015097428252610623,0.021025650751647463,0.0032647186086708357,0.021976677684217464,-0.041819360283470886,0.02239812128669018,-0.06179818104212442,0.021160106639624608,-0.003109254255266203,0.021220242313116176,-0.005960026778184746,0.021888539543773382,-0.03764111175958362,0.021659463776085366,-0.026781619111130972
s13,242,0.01897404537550264,-0.01842857191234515,0.018852255492468002,-0.011891521209784983,0.018965486096312323,-0.017969154096592943,0.01905779107308441,-0.022923607604740104,0.019362853228541022,-0.03929776552297204,0.01879619037080043,-0.00888223559546275,0.018976054230576016,-0.018536396857583126,0.01905085364397833,-0.02255124230902017,0.01934377201398456,-0.03827358466398745
s14,242,0.02124205581140424,0.01185177255847436,0.02124205581140424,0.01185177255847436,0.021092673937041246,0.018800790849088145,0.02124205581140424,0.01185177255847436,0.02224769685721789,-0.034929124059342564,0.021684476060004516,-0.008728946573423046,0.021278911560095388,0.01013729901299798,0.021175543504585028,0.014945824220421677,0.022742651548705826,-0.05795366581744732
s15,242,0.013933216420843879,0.023090219214068064,0.014112511056760013,0.010519203435766178,0.014007907381255374,0.01785335734683058,0.014034217275362387,0.016008672522576206,0.014472369002346514,-0.01471177957050318,0.014356215671196782,-0.006567836216455403,0.013936280634037972,0.02287537579605836,0.01406252198066982,0.014024124043466313,0.014607220623648848,-0.024166729800660702
s16,242,0.01733063380854034,0.009514381405859806,0.017432275603507453,0.0037053188363530554,0.017585671929677048,-0.00506163433423934,0.01746926472306312,0.0015913055019823874,0.01790842777553321,-0.023507873933404033,0.01759365169435849,-0.005517696255808557,0.01733063380854034,0.009514381405859806,0.017562895292407062,-0.0037598970807097842,0.0179770102148656,-0.02742751822323708
s17,242,0.015571612062997972,0.027042786838046395,0.01598615044736094,0.0011412867514329905,0.015891355529252433,0.007064334344169643,0.015308184851283069,0.04350244462711994,0.015344028057704621,0.04126286236103127,0.01600957225652554,-0.0003221723997328674,0.015551465815708836,0.02830157986081172,0.015547255385082184,0.028564659163850092,0.01520934258265563,0.04967838182856621
s18,242,0.01752128457350156,0.020133586196216857,0.0176361412509955,0.013710301407633962,0.017457791833903016,0.023684376253419237,0.017475307768090694,0.022704809056453557,0.01792085742117592,-0.0022122647407725182,0.017824505237802317,0.0031761682812696534,0.017512649161034437,0.02061651600712089,0.017261709731578742,0.03465013995696464,0.017743239611115985,0.007720895458812382
s19,242,0.017803898663086154,0.009989408345227657,0.017709957406323206,0.015213142817582681,0.017691685922303052,0.016229154144512314,0.01902628352708565,-0.05798300518839383,0.018407162923491115,-0.023555941393590185,0.017990226235999763,-0.0003715959602093033,0.017801518845615604,0.010121741411520224,0.018256281922905668,-0.015165993130810573,0.018397407896535253,-0.02301349952785392
s20,242,0.02012458564882902,0.015717820517421766,0.02014246233364541,0.014843481904938338,0.020446806209777076,-4.1806117301312895e-05,0.020061848201318393,0.01878627383360343,0.02028959827699758,0.007647145566389901,0.020552026264694663,-0.005188059897964115,0.02012458564882902,0.015717820517421766,0.019829319860463886,0.030159104366442757,0.02051763723058454,-0.0035061115570211854
s21,242,0.016690121567598595,0.005196545004616748,0.016745148973825383,0.001916673518233214,0.016699287572862057,0.0046502114343269785,0.016555196743538933,0.013238648268847797,0.016724465307945684,0.0031495094922406874,0.01676463762871236,0.0007550653695894693,0.01669220965493277,0.005072085965420636,0.01662462228207825,0.009100585803328953,0.016781251901285724,-0.00023521715718999303
s22,242,0.03014784671356357,0.009092577114684586,0.030338248130407704,0.00283441283942798,0.03021654136342888,0.006834703140772502,0.030213736268811655,0.006926901734738866,0.030455788631850094,-0.001028939541109608,0.030424483677576393,0.0,0.030336831402758044,0.002880978219622188,0.030155291913832073,0.008847866297324258,0.029997814516871092,0.014023875153541754
s23,242,0.017095773065949064,0.04977586681744384,0.01705636815609345,0.051966086362722375,0.017531364704865694,0.025564637181064387,0.016752882812240053,0.0688345307837056,0.015773386115378714,0.12327731006837395,0.01782735174894297,0.009112966273488454,0.01722448575701225,0.04262170626423001,0.016706756895830312,0.07139832001795765,0.015783593924635547,0.12270993550944942
s24,242,0.013424577808667728,0.008779165459151361,0.013434752679064145,0.008027890918571812,0.013668023384389293,-0.009195949302089224,0.013655559015292263,-0.008275626703161398,0.013679211583904406,-0.01002204429132747,0.013522714978832139,0.001533082260390617,0.013445597842968213,0.007227124401446683,0.013618296766548984,-0.00552432101425282,0.014106677394745868,-0.04158452795367262
s25,242,0.01182251870794768,-0.0017568740478459688,0.011680033908529695,0.010316283186267095,0.011748920835514714,0.004479290719265561,0.012244524750388777,-0.03751469049527545,0.012251281164264384,-0.03808718136722922,0.011875402508173977,-0.00623787439228618,0.01182251870794768,-0.0017568740478459688,0.012325997041360929,-0.044418077966416725,0.012283749886553664,-0.040838351955182706
s26,242,0.023849153657694355,0.03647502562154725,0.024045296461818293,0.02855069870284077,0.02388301175762806,0.035107131173829575,0.02371116365270526,0.04204993272013546,0.022748127561097783,0.08095736477453253,0.024480922841587427,0.010951042864730365,0.023769076903729206,0.03971019083621252,0.023453281458669355,0.052468580608755144,0.022876828440492387,0.07575774581525918
s27,242,0.011835893521720355,-0.01076009759850205,0.01181125703673663,-0.008656194253905625,0.01167118584479956,0.0033055872012278664,0.011853031284841857,-0.012223626067520588,0.011828203320353533,-0.010103370781061827,0.011744261071235645,-0.0029348814941878576,0.011708680145596947,0.00010365377188381597,0.011942860694741049,-0.019894866346110485,0.011817609780792104,-0.009198705065594392
s28,242,0.013146932917775234,0.027168865983999035,0.013120687025550066,0.029110978357764217,0.013156145039657997,0.026487198325545913,0.012536222421626286,0.07235949624277083,0.012602557798942461,0.0674508897454621,0.013403164385054133,0.008208554066191143,0.013146932917775234,0.027168865983999035,0.012534174921026302,0.07251100476137651,0.012329650814072238,0.08764513681682495
s29,242,0.02214506985207624,0.0027835256384493023,0.022075178029128756,0.005930830105400742,0.02234344893855584,-0.006149699432760114,0.02175166185429577,0.020499113764963828,0.02209668550425585,0.004962325211899654,0.022020857696735452,0.008376933491718197,0.022140165869835762,0.00300435726882331,0.02161877069132561,0.02648334672950714,0.02218317245240483,0.0010677242877427107
s30,242,0.014132719551785418,0.006140473576883521,0.014375443280119192,-0.010928660839144788,0.014273823583700888,-0.0037824280856053605,0.01426940224659471,-0.0034715050543796533,0.014535447226399136,-0.022180666915747826,0.014252728277415801,-0.00229893645914081,0.014132719551785418,0.006140473576883521,0.014409054341824478,-0.013292301732646727,0.014825076014600322,-0.04254832009285825
