stk,n,abs_M0_base,rel_M0_base,abs_M1_poolridge,rel_M1_poolridge,abs_M2_blend,rel_M2_blend,abs_M3_signcons,rel_M3_signcons,abs_M5_tight,rel_M5_tight,abs_M8_poollgbm,rel_M8_poollgbm
s1,242,0.011011518985321357,0.0029779141241887963,0.01098793459130158,0.005113329024808766,0.010973404053640164,0.006428975575243245,0.011011518985321357,0.0029779141241887963,0.010973404053640164,0.006428975575243245,0.010984477902505684,0.005426309920369299
s2,242,0.023113754558724622,0.008244749676596608,0.023352783280075645,-0.0020113940743322622,0.02323136148179674,0.0031985213308375338,0.023113754558724622,0.008244749676596608,0.02323136148179674,0.0031985213308375338,0.023350561359390776,-0.0019160568369560593
s3,242,0.02202385442414334,-0.013437897343563154,0.021600629012236385,0.006037016687613805,0.02180586255073238,-0.0034068999725758164,0.02202385442414334,-0.013437897343563154,0.02180586255073238,-0.0034068999725758164,0.021560463282813455,0.007885261394817378
s4,242,0.017857192696924803,-0.01162193894500052,0.01754464188365466,0.006084274181860749,0.01774699165092579,-0.0053789758029558765,0.017857192696924803,-0.01162193894500052,0.01774699165092579,-0.0053789758029558765,0.017652041745503957,0.0
s5,242,0.020528804598129755,0.005381581392234436,0.020134588735530454,0.02448129837645341,0.02050848228829318,0.00636619516141379,0.020528804598129755,0.005381581392234436,0.02050848228829318,0.00636619516141379,0.020141479875118398,0.024147423389889955
s6,242,0.014900380325093488,0.007191061503085461,0.014913522952839441,0.00631537121754655,0.014944292394996669,0.004265210312941026,0.014900380325093488,0.007191061503085461,0.014944292394996669,0.004265210312941026,0.014922540065015493,0.00571456309235141
s7,242,0.02054188738657353,-0.054071333113414166,0.0193917817826878,0.004944341751077941,0.019927864339373783,-0.02256380511736311,0.02054188738657353,-0.054071333113414166,0.019927864339373783,-0.02256380511736311,0.019491206967722094,-0.00015748922296610068
s8,242,0.014432408896370173,0.0021671261386205787,0.014300921469216724,0.011257949316874849,0.014421533698785849,0.0029190193074807302,0.014432408896370173,0.0021671261386205787,0.014421533698785849,0.0029190193074807302,0.014488865971338496,-0.001736222621101513
s9,242,0.021545032537369717,-0.017022299428717247,0.021410148572946867,-0.010655170513249157,0.02171467442860668,-0.025030158595604313,0.021545032537369717,-0.017022299428717247,0.02171467442860668,-0.025030158595604313,0.02138798282601295,-0.009608847706533252
s10,242,0.02039603677035591,-0.04336553448366742,0.019573316424792167,-0.0012790221506773225,0.019988164512667782,-0.022500703686619827,0.02039603677035591,-0.04336553448366742,0.019988164512667782,-0.022500703686619827,0.02004041343206351,-0.025173513229243882
s11,242,0.01560667617945774,0.03171039318813618,0.01596142315808904,0.009700721909845167,0.015915085903946954,0.012575637816221175,0.01560667617945774,0.03171039318813618,0.015915085903946954,0.012575637816221175,0.015916484223867457,0.012488881441548472
s12,242,0.021181328424978357,-0.00411528743093581,0.021211804486724495,-0.005560025876325092,0.021185329658092337,-0.004304968609458282,0.021181328424978357,-0.00411528743093581,0.021185329658092337,-0.004304968609458282,0.021162011969544935,-0.0031995777166760053
s13,242,0.01897404537550264,-0.01842857191234515,0.018590304561490644,0.002168649263445732,0.018894299458369145,-0.01414822373699165,0.01897404537550264,-0.01842857191234515,0.018894299458369145,-0.01414822373699165,0.018671369339421234,-0.002182488534866689
s14,242,0.02124205581140424,0.01185177255847436,0.02144922423445618,0.0022146116434407226,0.021324094696776562,0.008035448004877543,0.02124205581140424,0.01185177255847436,0.021324094696776562,0.008035448004877543,0.021447273719342436,0.002305346649004947
s15,242,0.013933216420843879,0.023090219214068064,0.014200473052453196,0.004351859777659395,0.014121107904818176,0.009916446348078423,0.014075814273245654,0.013092151824404596,0.014121107904818176,0.009916446348078423,0.014347836487016034,-0.0059803403552030066
s16,242,0.01733063380854034,0.009514381405859806,0.01757760103249429,-0.004600363980426181,0.01752905399085672,-0.0018257887918597948,0.01733063380854034,0.009514381405859806,0.01752905399085672,-0.0018257887918597948,0.017427796583198932,0.003961305158030171
s17,242,0.015571612062997972,0.027042786838046395,0.016066988856645648,-0.003909719727272609,0.015933903719387563,0.004405806227011366,0.015571612062997972,0.027042786838046395,0.015933903719387563,0.004405806227011366,0.015903599836205425,0.006299276319227443
s18,242,0.01752128457350156,0.020133586196216857,0.01778511918311305,0.005378807705357147,0.01752785243797738,0.019766282658438383,0.01752128457350156,0.020133586196216857,0.01752785243797738,0.019766282658438383,0.01769097480570061,0.01064377061877464
s19,242,0.017803898663086154,0.009989408345227657,0.017737448148669198,0.0136844817860855,0.018007364397597984,-0.0013245873147889053,0.017803898663086154,0.009989408345227657,0.018007364397597984,-0.0013245873147889053,0.017533309858280676,0.02503587585270961
s20,242,0.02012458564882902,0.015717820517421766,0.02030155613737493,0.007062293332433467,0.020332403441711305,0.005553569005225301,0.02012458564882902,0.015717820517421766,0.020332403441711305,0.005553569005225301,0.020435716313568435,0.0005005944767259018
s21,242,0.016690121567598595,0.005196545004616748,0.01663542164474847,0.008456897064899271,0.01677739118861893,-5.101978932220419e-06,0.016690121567598595,0.005196545004616748,0.01677739118861893,-5.101978932220419e-06,0.016760316171964745,0.0010126428884665861
s22,242,0.03014784671356357,0.009092577114684586,0.03034067844229642,0.002754532703598156,0.030298183435878874,0.004151269846876859,0.03014784671356357,0.009092577114684586,0.030298183435878874,0.004151269846876859,0.03042257630553099,6.269201034325711e-05
s23,242,0.017095773065949064,0.04977586681744384,0.017695007435869946,0.016468981101617652,0.017749575277622727,0.013435969378242762,0.017095773065949064,0.04977586681744384,0.017749575277622727,0.013435969378242762,0.017867091737045364,0.0069041222743541075
s24,242,0.013424577808667728,0.008779165459151361,0.013665353261570173,-0.00899879737621001,0.013534979683307932,0.0006275021535775416,0.013424577808667728,0.008779165459151361,0.013534979683307932,0.0006275021535775416,0.013558062637913856,-0.0010768572575154955
s25,242,0.01182251870794768,-0.0017568740478459688,0.011749523511865822,0.004428224174778617,0.011802099258298098,-2.66738632614949e-05,0.01182251870794768,-0.0017568740478459688,0.011802099258298098,-2.66738632614949e-05,0.011860258166549743,-0.004954649666677913
s26,242,0.023849153657694355,0.03647502562154725,0.024689715214888823,0.002515663185303496,0.024278986417836285,0.019109436672475444,0.023849153657694355,0.03647502562154725,0.024278986417836285,0.019109436672475444,0.02445090657791511,0.012163724039958357
s27,242,0.011835893521720355,-0.01076009759850205,0.011641220011860465,0.00586460551028567,0.011624124345719059,0.007324538986865914,0.011835893521720355,-0.01076009759850205,0.011624124345719059,0.007324538986865914,0.011693855806924808,0.0013696207202673616
s28,242,0.013146932917775234,0.027168865983999035,0.013265818989533372,0.018371675587537495,0.013457027769568398,0.004222835285493276,0.013146932917775234,0.027168865983999035,0.013457027769568398,0.004222835285493276,0.013406295538411061,0.007976858697389289
s29,242,0.02214506985207624,0.0027835256384493023,0.022127057734647307,0.0035946307899908936,0.02214322030100758,0.002866812925785056,0.02214506985207624,0.0027835256384493023,0.02214322030100758,0.002866812925785056,0.021983577666474033,0.010055693621612183
s30,242,0.014132719551785418,0.006140473576883521,0.014241316173171132,-0.0014963995886865256,0.014143899382031186,0.005354270981350884,0.014132719551785418,0.006140473576883521,0.014143899382031186,0.005354270981350884,0.014152987261621081,0.00471518126671322
